id_localidad;id_estacion;Dirección;Margen;Rótulo;tipoVenta;rem;horario;tipoServicio
8764;8764;CALLE GUELDERA, S/N;D;BP LA HONDURA;P;OM;L-S: 06:00-22:00;L-S: 06:00-22:00 (A)
8765;8765;CALLE ALMIRANTE LALLERMAND, 31;I;PCAN GIL;P;dm;"L-S: 07:00-23:00; D: 08:00-21:00";"L-S: 07:00-23:00 (A); D: 08:00-21:00 (A)"
8766;8766;CARRETERA AEROPUERTO KM. S/N;D;CEPSA;P;dm;L-D: 06:30-22:00;L-D: 06:30-22:00 (A)
8767;8767;GC-740 a Tinajo km 7,7;N;DISA;P;dm;L-D: 06:30-22:00;L-D: 06:30-22:00 (A)
8768;8768;AVENIDA MAMERTO CABRERA ESQUINA CALLE LA HOYA, SN;N;REPSOL;P;dm;L-D: 06:30-22:00;L-D: 06:30-22:00 (A)
8769;8769;CARRETERA AVENIDA DE MOYA KM. 53,300;D;DISA MASPALOMAS;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
8770;8770;CARRETERA C-812 KM. 56,8;D;CEPSA MASPALOMAS;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
8771;8771;CALLE ALCALDE ENRIQUE JORGE, 317;N;PETROPRIX;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
8772;8772;POLIGONO EL TABLERO, S/N;N;PCAN;P;dm;"L-S: 06:00-22:00; D: 07:00-15:00";Sin datos
8773;8773;CALLE NESTOR ALAMO, 13;N;DISA FATAGA;P;dm;"L-S: 06:00-22:00; D: 07:00-22:00";"L-S: 06:00-22:00 (A); D: 07:00-22:00 (A)"
